parent_opeid,opeid,state,school_name,loc_name,school_addr,school_lat,school_lon,geometry,index_right,Head Start Address,Head_Start_Lat,Head_Start_Lon,distance_meters,distance_mi
2179402,2179402,NY,EASTERN SUFFOLK BOCES,EASTERN SUFFOLK BOCES - WARD TECHNICAL CENTER,"970 North Griffing Avenue, Riverhead, NY 119012763",40.9278586,-72.6719823,POINT (1825787.6007174694 338525.8459336224),9670,"546 Saint Johns Pl, Riverhead, NY 11901-4659",40.9215704,-72.6630214,995.2387511675761,0.6184126893737921
2179403,2179403,NY,EASTERN SUFFOLK BOCES,EASTERN SUFFOLK BOCES - MILLIKEN TECHNICAL CENTER,"375 Locust Avenue, Oakdale, NY 117691650",40.7459554,-73.1106693,POINT (1797220.2738748465 310234.7203549786),9589,"90 Air Park Dr, Ronkonkoma, NY 11779-7360",40.7851344,-73.094942,4526.14810867243,2.812418046528542
2180000,2180011,WA,NORTHWEST INDIAN COLLEGE,NORTHWEST INDIAN COLLEGE - MUCKLESHOOT,"5602 Auburn Way South, Auburn, WA 980927347",47.3014772,-122.2239867,POINT (-1845063.4484857854 1079147.0232287245),15822,"100 N St SE, Auburn, WA 98002-5705",47.307573,-122.211792,1102.7776475719854,0.6852342616444871
2180000,2180004,WA,NORTHWEST INDIAN COLLEGE,NORTHWEST INDIAN COLLEGE - SWINOMISH,"1729 Reservation Road, LaConner, WA 982579002",48.3921088,-122.496221,POINT (-1828837.606796686 1200851.643783584),15937,"1020 McLean Rd
Washington Elementary, Mount Vernon, WA 98273-3264",48.41974,-122.3486013,10779.36208923474,6.69798507294571
2180000,2180006,WA,NORTHWEST INDIAN COLLEGE,NORTHWEST INDIAN COLLEGE - TULALIP,"6700 Totem Beach Road, Marysville, WA 982709715",48.0646324,-122.2823028,POINT (-1824866.5513768147 1161662.7647594835),15748,"7607 Totem Beach Rd
6406 Marine Drive, Tulalip, WA 98271",48.0663584,-122.2833449,205.46554179874374,0.12767036867117518
2180000,2180015,WA,NORTHWEST INDIAN COLLEGE,NORTHWEST INDIAN COLLEGE - PORT GAMBLE BAND OF S'KLALLAM,"31912 Little Boston Road, Kingston, WA 983469748",47.8521554,-122.5693153,POINT (-1851032.9433818315 1144829.420995313),15757,"32028 Little Boston Rd NE, Kingston, WA 98346-9734",47.8662757,-122.5670088,1578.4439921249307,0.9807996252665251
2180000,2180001,WA,NORTHWEST INDIAN COLLEGE,NORTHWEST INDIAN COLLEGE - NISQUALLY,"4824 She-Nah-Num Drive Southeast, Olympia, WA 985139120",47.003859,-122.6701908,POINT (-1885125.8592677282 1056601.5158333322),15668,"4820 She Nah Num Dr SE, Olympia, WA 98513-9105",47.0038909,-122.6701863,3.5609957253167326,0.0022127001593921078
2180000,2180000,WA,NORTHWEST INDIAN COLLEGE,NORTHWEST INDIAN COLLEGE - LUMMI,"2522 Kwina Road, Bellingham, WA 982269278",48.79461,-122.614492,POINT (-1823852.5759169576 1246090.7025047506),15955,"2520 Kwina Rd, Bellingham, WA 98226-9278",48.7950595,-122.6165109,148.9808404201646,0.09257240243239767
2187900,2187900,OH,ASHTABULA COUNTY TECHNICAL AND CAREER CAMPUS,ASHTABULA COUNTY TECHNICAL AND CAREER CAMPUS,"1565 State Route 167, Jefferson, OH 440479487",41.7468757,-80.732904,POINT (1187232.4461498766 293895.1759843702),11373,"1565 State Route 167, Jefferson, OH 44047-9487",41.7468757,-80.732904,0.0,0.0
2188200,2188200,ND,SITTING BULL COLLEGE,SITTING BULL COLLEGE - MAIN CAMPUS,"9299 Highway 24, Fort Yates, ND 585389701",46.0854433,-100.6747776,POINT (-340310.7741058042 684803.4919264547),10854,"836 Redtail Hawk Ave
Fort Yates, Fort Yates, ND 58538",46.0891149,-100.6614448,1053.268016974655,0.6544704034529939
2189000,,OH,MID-EAST CAREER AND TECHNOLOGY CENTERS,MID-EAST CAREER AND TECHNOLOGY CENTERS - BUFFALO CAMPUS,"57090 Vocational Road, Senecaville, OH 43780",39.9274299,-81.5211709,POINT (1158503.5036958747 84371.49446849433),11514,"60901 Beech Grove Ln, Cambridge, OH 43725-8909",39.9836148,-81.576426,7655.938486867726,4.757179625280689
2189000,2189000,OH,MID-EAST CAREER AND TECHNOLOGY CENTERS,MID-EAST CAREER AND TECHNOLOGY CENTERS - ZANESVILLE CAMPUS,"400 Richards Road, Zanesville, OH 437014600",39.937534,-81.975244,POINT (1122292.4551482496 79784.82291179894),11535,"425 Bonifield Ct, Zanesville, OH 43701-5048",39.9319848,-81.9899121,1329.8416439695798,0.826325287800234
2192100,2192100,OH,BUTLER TECH,BUTLER TECH - LESOURDSVILLE CAMPUS,"101 Jerry Couch Boulevard, Monroe, OH 450502299",39.4412769,-84.4313858,POINT (933912.6879411595 -2546.0054545930934),11460,"100 Maple Ave, Trenton, OH 45067-1849",39.4734756,-84.4577341,4162.463610697476,2.5864349764236083
2192100,2192102,OH,BUTLER TECH,BUTLER TECH - PUBLIC SAFETY EDUCATION COMPLEX,"5140 Princeton Glendale Road, Hamilton, OH 450110000",39.4280293,-84.445409,POINT (932973.1131958433 -4148.890476849425),11460,"100 Maple Ave, Trenton, OH 45067-1849",39.4734756,-84.4577341,5143.303779460439,3.1959008014821184
2196300,2196300,OH,COLLINS CAREER TECHNICAL CENTER,COLLINS CAREER TECHNICAL CENTER - MAIN CAMPUS,"11627 State Route 243, Chesapeake, OH 456197962",38.4936058,-82.4709424,POINT (1106687.10053275 -84759.37654717878),10934,"11627 State Route 243, Chesapeake, OH 45619-7962",38.4936058,-82.4709424,0.0,0.0
2196300,2196301,OH,COLLINS CAREER TECHNICAL CENTER,COLLINS CAREER CENTER - COAL GROVE CAMPUS,"120 Marion Pike, Coal Grove, OH 456386012",38.498948,-82.6526825,POINT (1091841.5461206937 -86369.87890988319),10935,"1 Hornet Ln, Ironton, OH 45638-2994",38.5031706,-82.6458966,728.0473757206852,0.4523876658568244
2199300,2199302,NY,ORLEANS NIAGARA BOCES,ORLEANS NIAGARA BOCES - NIAGARA FALLS WORKFORCE TRAINING CENTER,"606 6th Street, Niagara Falls, NY 143010000",43.093167,-79.0559428,POINT (1288497.5946757235 463939.2116751993),9785,"1631 Main St, Niagara Falls, NY 14305-2523",43.1044806,-79.0524557,1284.8639050459747,0.7983774165411339
2199300,2199300,NY,ORLEANS NIAGARA BOCES,ORLEANS NIAGARA BOCES - NIAGARA CAREER AND TECHNICAL EDUCATION CENTER,"3181 Saunders Settlement Road, Sanborn, NY 141329466",43.1463699,-78.8658142,POINT (1301678.027122047 472454.26506331505),10311,"4945 Beach Ridge Rd, Lockport, NY 14094-9642",43.1127937,-78.7738531,7958.019468362008,4.944884044904016
2199300,2199301,NY,ORLEANS NIAGARA BOCES,ORLEANS NIAGARA BOCES - ORLEANS CAREER AND TECHNICAL EDUCATION CENTER,"4232 Shelby Basin Rd, Medina, NY 141039515",43.2034225,-78.4306106,POINT (1333115.9556101898 484982.79013578227),10308,"222 W Center St, Medina, NY 14103-1415",43.2206086,-78.3905773,3603.5744902019087,2.239157377292803
2199300,2199303,NY,ORLEANS NIAGARA BOCES,ORLEANS NIAGARA BOCES - LOCKPORT COMMUNITY EDUCATION CENTER,"50 Main St., Lockport, NY 140948808",43.1695138,-78.6925656,POINT (1314194.7058789216 477471.47737247153),9783,"85 N Adam St, Lockport, NY 14094-2442",43.1800996,-78.6851665,1304.8048755579987,0.8107681611625598
2210800,2210800,OH,MEDINA COUNTY CAREER CENTER,MEDINA COUNTY CAREER CENTER,"1101 West Liberty Street, Medina, OH 442561346",41.1547709,-81.9011258,POINT (1107302.015354972 214248.89727602963),11017,"787 Lafayette Rd
Na, Medina, OH 44256-2432",41.1293847,-81.8834665,3144.596394611703,1.953961610825096
2218200,2218200,WV,GARNET CAREER CENTER,GARNET CAREER CENTER,"422 Dickinson Street, Charleston, WV 25301",38.35104,-81.6299222,POINT (1177417.0427557605 -89836.2270492797),16273,"203 Bradford St, Charleston, WV 25301-1924",38.343956,-81.6267249,829.1860187809607,0.5152323050764539
