parent_opeid,opeid,state,school_name,loc_name,addr_verif,lat,lon
766900,766900,WI,SOUTHWEST WISCONSIN TECHNICAL COLLEGE,SOUTHWEST WISCONSIN TECHNICAL COLLEGE,"1800 Bronson Boulevard, Fennimore, WI 53809",42.9752025,-90.6358157
768400,768400,IL,KISHWAUKEE COLLEGE,KISHWAUKEE COLLEGE,"21193 Malta Road, Malta, IL 60150",41.9407417,-88.8792003
768600,,LA,SOUTHERN UNIVERSITY SHREVEPORT LOUISIANA,SOUTHERN UNIVERSITY SHREVEPORT LOUISIANA - METRO CENTER,"610 Texas Street, Shreveport, LA 71101",32.5121078,-93.7513033
768600,768600,LA,SOUTHERN UNIVERSITY SHREVEPORT LOUISIANA,SOUTHERN UNIVERSITY SHREVEPORT LOUISIANA - MAIN CAMPUS,"3050 Martin Luther King Jr Drive, Shreveport, LA 711074795",32.4923778,-93.7483793
768600,,LA,SOUTHERN UNIVERSITY SHREVEPORT LOUISIANA,"SOUTHERN UNIVERSITY SHREVEPORT LOUISIANA - SMALL, WOMEN, AND MINORITY-OWNED BUSINESS INCUBATOR","4000 Viking Drive, Bossier City, LA 71111",32.5512652,-93.6917622
768600,,LA,SOUTHERN UNIVERSITY SHREVEPORT LOUISIANA,SOUTHERN UNIVERSITY SHREVEPORT LOUISIANA - AEROSPACE TECHNOLOGY CENTER,"1560 Airport Drive, Shreveport, LA 71107",32.5411573,-93.7497469
768700,768700,NC,JAMES SPRUNT COMMUNITY COLLEGE,JAMES SPRUNT COMMUNITY COLLEGE - MAIN CAMPUS,"133 James Sprunt Drive, Kenansville, NC 28349",34.9475454,-77.9775678
769000,769003,IL,KANKAKEE COMMUNITY COLLEGE,KANKAKEE COMMUNITY COLLEGE - SOUTH EXTENSION CENTER,"1488 East Walnut Street, Watseka, IL 60970",40.7766938,-87.7045974
769000,769002,IL,KANKAKEE COMMUNITY COLLEGE,KANKAKEE COMMUNITY COLLEGE - MIT CENTER,"2580 South Route 45/52, Kankakee, IL 60901",41.084943,-87.8700753
769000,769001,IL,KANKAKEE COMMUNITY COLLEGE,KANKAKEE COMMUNITY COLLEGE - NORTH EXTENSION CENTER,"450 North Kinzie Avenue, Bradley, IL 60915",41.1500988,-87.8504481
769000,769000,IL,KANKAKEE COMMUNITY COLLEGE,KANKAKEE COMMUNITY COLLEGE - RIVERFRONT MAIN CAMPUS,"100 College Drive, Kankakee, IL 60901",41.0985076,-87.8504829
769100,,IL,MCHENRY COUNTY COLLEGE,MCHENRY COUNTY COLLEGE - WOODSTOCK WELDING CENTER,"912 Trakk Lane, Woodstock, IL 60098",42.3401226,-88.4846595
769100,769100,IL,MCHENRY COUNTY COLLEGE,MCHENRY COUNTY COLLEGE - MAIN CAMPUS,"8900 US Highway 14, Crystal Lake, IL 60012",42.259039,-88.3683977
769100,,IL,MCHENRY COUNTY COLLEGE,MCHENRY COUNTY COLLEGE - SHAH CENTER,"4100 W. Shamrock Ln, McHenry, IL 60050",42.3152513,-88.2776325
769200,769200,IL,MORAINE VALLEY COMMUNITY COLLEGE,MORAINE VALLEY COMMUNITY COLLEGE - MAIN CAMPUS,"9000 West College Parkway, Palos Hills, IL 60465",41.6914849,-87.8416325
769200,769202,IL,MORAINE VALLEY COMMUNITY COLLEGE,MORAINE VALLEY COMMUNITY COLLEGE - EDUCATION CENTER AT BLUE ISLAND,"12940 South Western Avenue, Blue Island, IL 60406",41.6577662,-87.6804953
769200,769203,IL,MORAINE VALLEY COMMUNITY COLLEGE,MORAINE VALLEY COMMUNITY COLLEGE - SOUTHWEST EDUCATION CENTER,"17900 S. 94th Avenue, Tinley Park, IL 60487",41.5642723,-87.8482226
769300,769303,IL,SHAWNEE COMMUNITY COLLEGE,SHAWNEE COMMUNITY COLLEGE - CAIRO CENTER,"2035 Washington Ave., Cairo, IL 62914",37.0056176,-89.177928
769300,769300,IL,SHAWNEE COMMUNITY COLLEGE,SHAWNEE COMMUNITY COLLEGE - MAIN CAMPUS,"8364 Shawnee College Road, Ullin, IL 62992",37.2719682,-89.0353966
769300,769301,IL,SHAWNEE COMMUNITY COLLEGE,SHAWNEE COMMUNITY COLLEGE - METROPOLIS CENTER,"5385 Industrial Park Road, Metropolis, IL 62960",37.1745532,-88.6836897
769300,769302,IL,SHAWNEE COMMUNITY COLLEGE,SHAWNEE COMMUNITY COLLEGE - ANNA CENTER,"1150 E. Vienna Street, Anna, IL 62906",37.4628469,-89.2306074
769300,769305,IL,SHAWNEE COMMUNITY COLLEGE,SHAWNEE COMMUNITY COLLEGE - VIENNA CENTER,"601 N. 1st Street, Vienna, IL 62995",37.4205509,-88.894896
769400,769408,IL,COLLEGE OF LAKE COUNTY,COLLEGE OF LAKE COUNTY - SOUTHLAKE EDUCATIONAL CENTER,"1120 South Milwaukee Avenue, Vernon Hills, IL 60061",42.2060288,-87.9338771
769400,769401,IL,COLLEGE OF LAKE COUNTY,COLLEGE OF LAKE COUNTY - LAKESHORE CAMPUS,"33 North Genesee Street, Waukegan, IL 60085",42.3607112,-87.830952
